DateTime,jck_af,pal_af,rir_af,grs_af,isl_af,amf_af,min_af,hen_af
2/1/1981,555319.19,1054562,43522.74,12172,114803,1307091,37470,86200
2/2/1981,556032.5,1056658,43588.45,12191,115107,1316368,37680,86200
2/3/1981,556032.5,1058463.38,43632.33,12211,115411,1321078,37883.98,86200
2/4/1981,556032.5,1060119.13,43698.17,12230,115715,1324226,37782.71,86200
2/5/1981,557206,1061782.5,43742.16,12250,116019,1329438.38,37990.31,86200
2/6/1981,556504.19,1063744.75,43786.23,12269,116323,1335212.63,37676.37,86200
2/7/1981,556504.19,1066161.88,43874.39,12289,116627,1337818.88,37367.5,86200
2/8/1981,556504.19,1068590.63,43940.63,12308,116931,1346710.38,37468.77,86200
2/9/1981,556504.19,1070870.75,44029.1,12328,117235,1355090.88,37468.77,86200
2/10/1981,556504.19,1072552,44050.73,12348,117539,1361887.25,37468.77,86200
2/11/1981,560266.31,1073467.88,44117.2,12367,117843,1367125,37676.37,86200
2/12/1981,560738,1075600.38,44183.8,12387,118147,1375114.5,37575.1,86200
2/13/1981,560507.88,1077895.5,44272.8,12406,118451,1380449.5,37782.71,86200
2/14/1981,560266.31,1080816.75,44495.96,12426,118755,1387379,37890,86300
2/15/1981,560266.31,1083273.75,44629.91,12445,119059,1393774,37990,86300
2/16/1981,560266.31,1086202.38,44809.8,12465,119363,1401769,38400,86400
2/17/1981,560266.31,1087288.5,45012.43,12485,119667,1412429,38720,86400
2/18/1981,561451.31,1092241.75,45874.75,12504,119971,1424768,39340,86500
2/19/1981,561923,1093014.88,46567.59,12524,120275,1434529,39752.4,86700
2/20/1981,561209.69,1097843.38,46917.65,12543,120578.88,1442138.88,38091.58,86700
2/21/1981,561209.69,1101751.38,47200.03,12563,120578.88,1451366.13,41228.44,86700
2/22/1981,561209.69,1104892.25,47312.56,12582,120729.13,1462237.38,42496.88,86600
2/23/1981,561451.31,1107724,47447.94,12602,121029.63,1473108.63,43868.44,86600
2/24/1981,559334.38,1110874.5,47651.23,12622,121255,1481908,44714.06,86600
2/25/1981,558862.69,1114040.25,47787.53,12622,121781,1490197,45240,86600
2/26/1981,558391,1117524.13,48015.71,12622,122006,1494633,46300,86700
2/27/1981,557919.31,1120847.88,48129.59,12622,122156,1501269,47360,86600
2/28/1981,557447.63,1123624,48244.34,12622,122300,1512328,48410,86600
3/1/1981,556734.31,1126869.13,48359.36,12622,122532,1518952,49782.66,86600
3/2/1981,556262.63,1129969.5,48474.7,12631,122682.38,1527268,50735.41,86600
3/3/1981,554617.38,1133230.75,48567.11,12641,122908,1531698.75,51702.13,86600
3/4/1981,553904.13,1135102,48590.23,12651,123163,1539038,53961.31,86600
3/5/1981,553904.13,1138843.88,48728.7,12660,123418,1545222,55794.92,86600
3/6/1981,554145.69,1139630.5,48751.9,12670,123673,1548037,57190,86600
3/7/1981,553674,1144017.88,48914.76,12680,123928,1555365.75,59451.64,86600
3/8/1981,553432.38,1147165.38,48984.69,12689,124184.15,1561550.5,61387.23,86600
3/9/1981,553432.38,1149213,49101.47,12699,124340.34,1567185.5,63145.74,86600
3/10/1981,553202.31,1152684.88,49171.67,12709,124577.01,1575047,65124.07,86600
3/11/1981,553432.38,1155222.5,49288.29,12716,124653.55,1579005.25,66770,86600
3/12/1981,553432.38,1158083.88,49405.8,12723,124810.33,1582386.25,68415.93,86600
3/13/1981,553674,1160788.5,49523.5,12730,124810.33,1588608.63,70501.48,86600
3/14/1981,554145.69,1163179.88,49617.43,12738,125047.89,1592613,71500,86600
3/15/1981,554617.38,1165420.63,49758.74,12744,125124.72,1597192,72720,86600
3/16/1981,555089.13,1168141.25,49994.57,12751,125282.09,1601771,73730,86600
3/17/1981,555560.81,1170548.88,50113.14,12758,125516.73,1604632,73730,86600
3/18/1981,556032.5,1172959.25,50208.25,12765,125674.71,1610928,76379.66,86700
3/19/1981,556734.31,1175217.75,50303.53,12772,125674.71,1617225.63,79029.1,86700
3/20/1981,557206,1177482.75,50398.36,12778,127027.16,1623513.5,82185.08,86700
3/21/1981,558621.13,1180391.38,50494,12785,127428.3,1626392,82750,86800
3/22/1981,558851.19,1183154.88,50613.81,12792,127594.41,1633238.88,85171.2,86800
3/23/1981,559092.81,1185099.5,50637.8,12799,127758.05,1638967.75,87029.73,86800
3/24/1981,559564.5,1187222.75,50709.86,12806,127978.41,1644713.63,88194.87,86800
3/25/1981,560266.31,1187868.25,50806.04,12813,128145.23,1650527,89826.05,86800
3/26/1981,561209.69,1187708.5,50878.34,12819,128420.13,1654015.13,92156.33,86900
3/27/1981,561923,1188034.88,50950.73,12826,128641.51,1657503.13,91337.89,87000
3/28/1981,561923,1188688.75,51046.84,12833,128695.63,1662125.38,91690.27,87000
3/29/1981,562866.38,1189340.75,51167.91,12840,128752.46,1665613.5,90059.09,87100
3/30/1981,562866.38,1192119.5,51265.06,12847,128863.51,1667938.75,92383.67,87100
3/31/1981,563568.19,1194086.75,51362.3,12854,128752.46,1669101.5,93670,87200
4/1/1981,564741.69,1195889.63,51411.01,12854,128917.59,1674319.38,94014.87,87300
4/2/1981,565455,1197695.25,51484.16,12868,129028.66,1674914.88,94480.92,87300
4/3/1981,566156.81,1198683.75,51581.27,12883,129139.95,1673156.63,94833.3,87500
4/4/1981,566628.5,1198353.38,51630.2,12897,129196.98,1672590,95066.33,87400
4/5/1981,567100.19,1198353.38,51752.65,12912,129139.95,1671428,95780.65,87500
4/6/1981,567571.88,1198522.5,51728.17,12926,130199.73,1666776.13,94480.92,87500
4/7/1981,568043.63,1198683.75,51777.18,12941,130199.73,1667371.63,93668.16,87500
4/8/1981,568987,1198851.75,51826.29,12955,130144.98,1669105,93781.84,87600
4/9/1981,570172,1199181.13,51900.04,12970,130144.98,1667938.75,92383.67,87700
4/10/1981,570172,1199671.88,51900.04,12984,130144.98,1672589.5,92969.09,87600
4/11/1981,571103.88,1200647,51923.5,12999,130257.23,1673752.13,92736.05,87700
4/12/1981,571817.19,1200968.75,52064.67,13013,130199.73,1673156.63,93548.81,87700
4/13/1981,572288.94,1201449.88,52276.57,13028,130369.58,1672589.5,93901.2,87700
4/14/1981,573232.31,1201449.88,52537.41,13042,130312.03,1673156.63,95066.33,88100
4/15/1981,573232.31,1201291.75,52751.79,13057,130536.79,1674332,95790,88400
4/16/1981,574647.44,1200324.13,53254.89,13084,130761.8,1673752.13,95180,88500
4/17/1981,576062.5,1200158.13,53860.14,13112,130761.8,1671426.88,95066.33,88900
4/18/1981,577466.13,1200324.13,54618.44,13140,130874.59,1671426.88,95297.77,89200
4/19/1981,578881.19,1199841.13,55311.2,13168,131384.19,1674914.88,96145.74,89500
4/20/1981,581239.69,1204036.5,56164.43,13196,132234.44,1674332,96390,89700
4/21/1981,584541.63,1203065.38,56978.37,13224,132576.64,1674914.88,95662.88,89900
4/22/1981,586658.5,1197365.25,57955.46,13252,132576.64,1674319.38,96987.82,90000
4/23/1981,588073.63,1197535.38,58450.3,13279,133434.73,1673752.13,94247.89,90100
4/24/1981,589960.38,1198851.75,58870.82,13307,133319.88,1673156.63,93082.76,90200
4/25/1981,592318.88,1200158.13,59187.54,13335,133490.73,1672589.5,94134.22,90300
4/26/1981,595850.88,1200647,59479.4,13363,133146.19,1672022.38,94713.95,90400
4/27/1981,599624.5,1199671.88,59743.92,13391,133204.98,1671426.88,95421.44,90600
4/28/1981,603156.5,1198024.25,60063.84,13419,133261.02,1665046.25,96145.74,90600
4/29/1981,607631.88,1200158.13,60197.63,13447,132518.11,1665046.25,95904.3,90700
4/30/1981,612809.13,1201291.75,60465.35,13475,132462.64,1632104,95180,90800
5/1/1981,618227.88,1202418.5,60653.97,13475,132632.41,1626392,94480.92,90900
5/2/1981,622001.5,1203230.63,60789.13,13556,132290.06,1629242.5,92849.73,91100
5/3/1981,623416.63,1204036.5,60816.15,13637,132290.06,1629242.5,92969.09,90800
5/4/1981,623646.69,1200803.88,60897.41,13719,132176.19,1630947.25,94946.98,91100
5/5/1981,623406.88,1197036.38,61005.93,13800,133900.91,1635530.38,94946.98,91000
5/6/1981,622697.81,1195072.25,61059.54,13878,134063.31,1637263.13,95180,91100
5/7/1981,622221.25,1193591.5,61168.29,13956,134798.17,1640113.63,94600.27,91200
5/8/1981,620315,1191792.13,61386.39,14033,135041.48,1643551,93315.78,91100
5/9/1981,619594.38,1191136.5,61495.78,14111,134961.53,1644713,94014.87,91100
5/10/1981,618641.25,1189015.25,61824.32,14189,135365,1645294,94134.22,91400
5/11/1981,619117.81,1189668.63,62044.75,14267,135283.05,1645875,92383.67,91400
5/12/1981,616502.5,1187708.5,62285.5,14345,135283.05,1647606.13,93315.78,91200
5/13/1981,612690,1184289.38,62577.43,14407,135125.22,1641846.25,94014.87,90900
5/14/1981,609365.63,1180066.13,62817.73,14469,135041.48,1638973,94247.89,90900
5/15/1981,607935.94,1180714.5,63085.31,14531,135283,1634384.63,93781.84,91000
5/16/1981,607691.88,1183481,63381.64,14568,135125,1622367.75,94247.89,90900
5/17/1981,605785.56,1187222.75,63814.52,14605,135205,1616079.75,94600.27,90600
5/18/1981,604367.5,1190977.5,64278.23,14642,134634.88,1616079.75,94367.25,90600
5/19/1981,601740.63,1195889.63,64689.7,14679,134309.02,1613229.25,94014.87,90700
5/20/1981,603646.88,1195730,64985.57,14717,133900.91,1617225.63,93548.81,90600
5/21/1981,602461.25,1197695.25,65652.23,14717,134063.31,1608646.13,91803.95,90800
5/22/1981,602217.19,1199011.88,66407.05,14717,134225.78,1615492.88,92156.33,90800
5/23/1981,601031.56,1200481,67169.91,14838,133900.91,1626392,93202.11,90800
5/24/1981,604290,1201771.88,67841.31,14959,133983.94,1642405.25,92616.7,90600
5/25/1981,605250,1203387.88,68558.57,15080,134388.58,1658070.25,92503.03,91000
5/26/1981,609780,1206137.25,69692.89,15201,135125.22,1662125.38,93435.14,91400
5/27/1981,618380,1207110.75,70970.54,15322,136328.75,1669697,94014.87,91500
5/28/1981,629190.69,1208408.88,72212.98,15291,135845.95,1675482,94713.95,91700
5/29/1981,634740.13,1209542.25,73063.51,15260,135845.95,1678397,95066.33,91700
5/30/1981,641491.38,1208566.75,73670.41,15229,135525.17,1676644.63,94946.98,91800
5/31/1981,648973.06,1207276.63,74273.77,15198,135525.17,1672022.38,93901.2,91900
6/1/1981,650422,1205007.13,74794.09,15197,135443.13,1677240.25,94247.89,92100
6/2/1981,656938,1200647,75259.67,15165,135041.48,1677240.25,94600,92000
6/3/1981,658140,1199181.13,75904.79,15170,135041.48,1672589.5,95180,92100
6/4/1981,655972,1199671.88,76443.82,15175,134798.17,1670859.63,95662.88,92100
6/5/1981,653730,1199671.88,76963.62,15180,134634.88,1671426.88,95421.44,91900
6/6/1981,652040,1200803.88,77332.3,15189,134388.58,1669697,92849.73,91900
6/7/1981,652760,1204841.63,77548.69,15199,134063.31,1669101.5,95180,91800
6/8/1981,660210,1209866.5,78076.68,15209,133983.94,1669697,94946.98,91700
6/9/1981,684570,1214754.63,78419.57,15218,134714.64,1669697,94600.27,91600
6/10/1981,706090,1218173.5,78544.86,15228,134877.77,1658070.25,94014.87,91400
6/11/1981,716400,1208084,79047.36,15238,134961.53,1657503.13,94014.87,91400
6/12/1981,720820,1199181.13,79205.23,15247,134798.17,1653419.5,93548.81,91200
6/13/1981,719100,1199511.63,79205.23,15257,134714.64,1648201.75,92620,91000
6/14/1981,716400,1198024.25,79300.16,15227,134714.64,1649364.38,93435.14,90900
6/15/1981,712230,1195561.25,79391.49,15197,134714.64,1652256.88,94600.27,90700
6/16/1981,705600,1194247.38,79452.46,15167,134877.77,1653419.5,95180,90800
6/17/1981,699460,1194247.38,79421.93,15137,134634.88,1662125.38,93668.16,90800
6/18/1981,691640,1198192.25,79391.49,15107,134551.45,1661558.25,94480.92,90600
6/19/1981,683840,1199671.88,79236.88,15077,134388.58,1667938.75,94247.89,90600
6/20/1981,676280,1199511.63,79078.88,15047,134388.58,1666776.13,93781.84,90500
6/21/1981,668500,1199671.88,78952.73,15016,133821.77,1657503.13,92270,90200
6/22/1981,661480,1200158.13,78796.05,14986,133659.66,1652256.88,91690.27,90200
6/23/1981,653970,1200968.75,78607.59,14956,132691.61,1642405.25,89826.05,90000
6/24/1981,647200,1200968.75,78450.84,14926,131652.72,1640113.63,91457.25,89900
6/25/1981,639750,1199011.88,78231.93,14971,130699.09,1637263.13,91457.25,89800
6/26/1981,631090,1198024.25,78200.75,15015,129909.75,1629242.5,91690.27,89700
6/27/1981,621250,1199011.88,77983.29,15060,129128.86,1609205,90758.16,89700
6/28/1981,611460,1200001.38,77796.77,15104,128193.64,1603476,91690.27,89300
6/29/1981,600950,1199841.13,77610.62,15149,127728.45,1596042.25,93315.78,89000
6/30/1981,591220,1199511.63,77548.69,15194,127419.3,1590313.38,94367.25,88900
7/1/1981,583390,1199011.88,77424.98,14950,126708.12,1573370.25,94946.98,88800
7/2/1981,577940,1196377.88,77363.21,14893,125832.78,1568312.5,94247.89,88700
7/3/1981,574860,1190810.5,77409,14837,124420.52,1540156,94946.98,88500
7/4/1981,574390,1182013.5,77348,14781,122635.91,1525046,94713.95,88300
7/5/1981,574160,1171671.38,77270,14725,120951.16,1501669,95539.21,88100
7/6/1981,573690,1161107.38,77240,14668,119066.57,1491871,94480.92,87900
7/7/1981,573690,1149213,77166,14612,117434.66,1486903,93668.16,87800
7/8/1981,573920,1136030.13,76864,14556,115675.66,1463854.75,93668.16,87400
7/9/1981,573920,1122698.63,76810,14500,114016.7,1449748.75,93315.78,87300
7/10/1981,573690,1108356,76743,14444,112875.3,1431294.25,94014.87,87000
7/11/1981,574160,1093797,76683,14340,111647.54,1393774,94247.89,86800
7/12/1981,574630,1078816.88,76474.37,14236,109962.95,1380449.5,94014.87,86400
7/13/1981,574630,1063744.75,76352.38,14132,108160.71,1365566.38,94014.87,86000
7/14/1981,574630,1048578,76275.81,14028,106459.97,1347246.88,93435.14,85500
7/15/1981,574399.69,1032861,76111.38,13925,104505.74,1330485.88,93315.78,85100
7/16/1981,574170.44,1016335.13,76008.38,13830,102590.71,1309152.88,93435.14,84900
7/17/1981,574640.5,999328.06,75904.79,13736,100707.41,1283963.13,93082.76,84300
7/18/1981,575110.5,982761.19,75787.61,13642,99319.27,1260904.5,93315.78,84000
7/19/1981,574869.75,966510.44,75684.33,13548,97114.82,1239220.63,93435.14,83700
7/20/1981,575339.81,949600.63,75537.44,13454,95242.71,1231147.63,93548.81,83400
7/21/1981,574399.69,933269.69,75420.98,13360,93470.05,1212526,93548.81,82800
7/22/1981,574170.44,916664.25,75274.6,13266,91986.28,1195728.88,93548.81,82400
7/23/1981,573929.63,899543,75099.43,13172,91220.75,1172545.63,93781.84,82100
7/24/1981,573230.31,882759,74968.62,13078,88533.91,1144400.13,94014.87,81700
7/25/1981,572049.44,866331,74808.28,12984,87007.34,1125617.38,94370,81300
7/26/1981,570880,850391,74634.84,12890,86043.15,1116472.88,94247.89,80800
7/27/1981,571579.38,836059.06,74547.91,12796,84512.93,1096299.75,94946.98,80400
7/28/1981,571350.06,822180.06,74446.38,12771,83047.62,1081321.13,95297.77,80200
7/29/1981,570409.94,808977.25,74359.6,12747,81668.59,1068230,95539.21,79800
7/30/1981,569469.81,796108.69,74244.88,12723,79905.2,1049073.13,93550,79400
7/31/1981,568529.69,783445.63,74114.93,12723,78349.6,1040885.38,93548.81,78900
8/1/1981,567589.56,771101.56,73994,12723,76878.97,1025387,94833.3,78600
8/2/1981,566649.5,759309.63,73600,12734,75275.25,1017786,94480.92,78300
8/3/1981,565480.06,748025.44,73370.88,12745,73805.77,1009809.25,94713.95,77800
8/4/1981,564299.19,737140.88,73167.19,12756,72116.84,995167.69,94014.87,77400
8/5/1981,563370.5,726648.19,72916.08,12767,70729.19,984078.19,93082.76,77000
8/6/1981,562189.63,716074.69,72622.73,12765,69267.03,970544.13,92616.7,76500
8/7/1981,560779.5,705984.88,72300.63,12764,67731.34,955419.25,92270,76200
8/8/1981,559610.06,695255,71922.53,12762,66181.47,936834.75,92383.67,75900
8/9/1981,557970.56,685138.31,71603,12761,64619.96,920812.75,92270,75600
8/10/1981,557259.75,675624.88,71100,12759,62994.71,909879.44,92736.05,75300
8/11/1981,556090,665991,70800,12758,62476,884030,94020,75100
8/12/1981,554680.19,656112.69,70513.94,12756,60345.75,872138.75,93781.84,74700
8/13/1981,553029.25,646398.44,70104.25,12755,59488.53,855743.13,93548.81,74600
8/14/1981,552559.19,637919.13,69751.6,12753,58466.86,839714.38,94247.89,74600
8/15/1981,551630.5,630101.25,69312.49,12752,57507.14,823767,94247.89,74400
8/16/1981,550449.63,621730.75,68891.59,12735,56519.49,806399,94600.27,74400
8/17/1981,549280.25,613153.88,68486.75,12718,55589.67,792427,94480.92,74300
8/18/1981,547159.25,603958.19,68027.57,12701,54676.5,774963,94720,74200
8/19/1981,545760.5,595117.69,67585.39,12684,53608.99,757941,94014.87,74200
8/20/1981,545519.75,584432.5,67129.05,12667,52564.22,742083,92849.73,74100
8/21/1981,544350.38,575510.56,66746.8,12651,50878.73,726507,93082.76,74100
8/22/1981,542699.44,568602.81,66217.4,12656,49848.55,709270,93900,74100
8/23/1981,542229.38,556450.19,65974.27,12662,47814.79,692271,94600.27,74100
8/24/1981,540589.88,546654.69,65504.51,12668,46284.41,675594,96022.08,73900
8/25/1981,539179.69,535856.06,64959.05,12674,44805.4,659438.69,95904.3,73800
8/26/1981,537540.25,526590.31,64401.31,12680,43572.41,640608.75,95421.44,73700
8/27/1981,534960.63,517983.47,63801.19,12685,42243.91,625369.38,94134.22,73600
8/28/1981,534020.5,509716.09,63179.78,12691,40647.59,609818,93668.16,73500
8/29/1981,534020.5,504799.22,62791.02,12697,39920.66,588254.56,93901.2,73300
8/30/1981,532610.38,492403,61728.46,12703,37815.92,564205.56,93082.76,73200
8/31/1981,530489.38,481656.59,61236.7,12709,36393.58,556173.88,94367.25,73000
9/1/1981,529563.81,470859.94,60694.82,12696.3,35103.29,536949,95180,72900
9/2/1981,528172.88,460300.44,60050.79,12652,33734.63,516346,94713.95,72800
9/3/1981,526544.44,449882.5,59492.22,12608,32396.42,506851,95904.3,72700
9/4/1981,524689.81,439087.75,58910.02,12564,31112.46,495387,95180,72700
9/5/1981,523536.34,428483.72,58294.04,12522,29811.73,478642,94480.92,72600
9/6/1981,520754.44,418234.72,57735.52,12480,28573.14,464543,94946.98,72400
9/7/1981,520528.25,408314.16,57208.04,12438,27324.34,450335,96022.08,72300
9/8/1981,518899.81,398565.06,56634.26,12396,26150.07,436692,95662.88,72200
9/9/1981,516592.88,389260.66,56063.29,12354,25107.61,423304,94713.95,72200
9/10/1981,515665.56,380085.38,55535.94,12312,24253.22,409871,94946.98,72200
9/11/1981,513810.97,371739.19,55000.85,12286,23565.77,396994,94713.95,72100
9/12/1981,511266.53,364609.25,54446.97,12260,22864.01,386351,95180,72000
9/13/1981,509638.09,357950.09,53908.91,12233,22151.26,378307,94014.87,71900
9/14/1981,507783.47,351741.16,53180,12207,21538.87,365850,93315.78,71800
9/15/1981,506630,346034.06,52822.93,12181,21224.16,355228,93082.76,71800
9/16/1981,504311.75,340329.97,52300.21,12155,20913.31,343951,92503.03,71700
9/17/1981,502920.78,334544.03,51777.18,12129,20607.74,338439,92383.67,71600
9/18/1981,501529.81,328356.03,51143.71,12132,20291.27,328180,92156.33,71600
9/19/1981,499160,322117.47,50362.86,12135,19745.22,306064,91920,71700
9/20/1981,497320,315919.09,49593.97,12138,18974.75,295554,91690,71400
9/21/1981,493659.03,310191.22,48880.06,12142,18261.24,281591,91104.87,71400
9/22/1981,491800,304767.66,48198.4,12145,17502.29,270760,91457.25,71400
9/23/1981,491110,300278.84,47662.82,12148,16688.82,259934.97,91923.3,71200
9/24/1981,489700,296849.84,47176.45,12152,16675.47,249212.47,93315.78,71200
9/25/1981,487860,293872.81,46625.54,12155,15764.67,229568.58,93790,71400
9/26/1981,485780,292637.5,46625.54,12158,15275,223435,94014.87,71400
9/27/1981,484850,292309.78,46497.79,12162,14740,217151,94480.92,71500
9/28/1981,482332.97,293130.22,46335.33,12165,14225,211468,92969.09,71500
9/29/1981,481184.78,294283.13,46185.24,12168,14075,205278,93202.11,71500
9/30/1981,481418.88,294613.06,46127.8,12172,13950,195094,93548.81,71600
10/1/1981,481419,294859,46046.93,12172,13830,185357.84,93548.81,71600
10/2/1981,481419,294693.72,45989.65,12167,13645,189528.09,92969.09,71600
10/3/1981,483012,294693.72,45920.67,12161,13470,183590,92503.03,71800
10/4/1981,482790,294363.66,45840.69,12156,13300,177874,92969.09,71900
10/5/1981,482333,294283.13,45771.97,12151,13120,171968.58,93548.81,71800
10/6/1981,482333,294202.56,45726.25,12146,12900,166246.5,94134.22,71600
10/7/1981,482552,294283.13,45600.87,12141,12680,160181.77,94134.22,72000
10/8/1981,483011,295440.25,45350.8,12135,12710,154166.09,92849.73,72100
10/9/1981,483700,297182.66,44978.36,12130,12620,153071.53,92156.33,72200
10/10/1981,484160,299774.69,44697.25,12125,13185,154711,89939.73,72600
10/11/1981,485080,303150.72,44473.6,12119,13765,156351,87728.81,73200
10/12/1981,486240,306564.81,44150.74,12114,14810,157991,87262.76,73200
10/13/1981,486467.69,310017.59,43907.2,12109,15910,159816.92,87728.81,73200
10/14/1981,487166.41,313423.5,43698.17,12104,16705,163641,86450,72800
10/15/1981,488315.91,316566.59,43457.66,12098.43,17560,167586.31,85171.2,73000
10/16/1981,488777.94,319657.38,43229.08,12095,18280,171587.11,84818.81,72700
10/17/1981,488552.56,322862.66,43022.78,12092,19025,178827,82636.72,73000
10/18/1981,488552.56,325929.41,42829.03,12088,19800,186156,81280,72900
10/19/1981,489014.63,328860.91,42560.38,12084,20605,193708.03,80158.2,73000
10/20/1981,489702.06,331818.75,42165.02,12082,20995.32,201253.27,77900,73200
10/21/1981,489702,334715.09,41847.47,12078,22300,208991.25,74292.38,72900
10/22/1981,489702,337553.03,41510.88,12075,23205,211671.13,71380.74,72900
10/23/1981,489702,340503.97,41115.16,12071,24035,216627.88,70941.12,72900
10/24/1981,489702,343386.38,40805.51,12067,25010,223022,70510,73100
10/25/1981,489930,346388.34,40481.74,12064,25860,229564,70281.67,73200
